what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389208877242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389208884922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389208894511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389208894636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389208902002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389208902120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389208921066
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389208922390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389208923138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389209600342
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1389209600625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389209601048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389209603660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389209642022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389209642923
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389209655891
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389209667155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389209694119
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389209696596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389209771542
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389209786851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389210306141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389210979240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389210979273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211067122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211184229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211237826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211259891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389211271579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211312831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211313434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389211734995
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1389211742504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389211744201
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389211756941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389211801914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220340912
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389220340945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220448824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220656879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389220697967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220699115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220767396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389220770465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389224890008
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389224900211
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389224900405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389224900446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389225383973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389225387400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225433442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225435844
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389225450567
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389225479399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389225544113
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389225583723
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389225669727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225693295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225741457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389225743709
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1389225765659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225768978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225832437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389225837838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389225843890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389225844171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389225844401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389225844526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389225865344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389225867235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225874560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225874685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389225913746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389225923134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389225925784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225935898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389225936735
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1389225949371
